epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7935,1.81634,2.1578,1.32868,0.36679,0.36758,0.30459,0.13308,1.98797,2.48633,1.57376,0.000551962,0.000551962,0.000551962
2,172.186,1.95791,1.83763,1.41041,0.3356,0.23919,0.17438,0.07188,2.26339,2.86655,1.6154,0.0010857,0.0010857,0.0010857
3,246.472,1.96225,1.86027,1.41393,0.40799,0.43771,0.34946,0.1444,2.02109,1.94849,1.44068,0.00159743,0.00159743,0.00159743
4,320.881,1.91048,1.76063,1.38622,0.55092,0.50628,0.49456,0.22601,1.8909,1.83409,1.39779,0.00156798,0.00156798,0.00156798
5,397.02,1.84248,1.68331,1.34917,0.61884,0.4349,0.51152,0.27277,1.84649,1.74711,1.33871,0.00153497,0.00153497,0.00153497
6,471.907,1.79446,1.58968,1.30966,0.68278,0.48647,0.58368,0.31033,1.73454,1.52641,1.30737,0.00150197,0.00150197,0.00150197
7,546.634,1.76702,1.53571,1.29121,0.61092,0.42828,0.49624,0.2835,1.77497,1.5982,1.30799,0.00146896,0.00146896,0.00146896
8,619.478,1.73955,1.50993,1.27528,0.52611,0.55167,0.52686,0.2691,1.75134,1.50577,1.28489,0.00143595,0.00143595,0.00143595
9,692.599,1.70897,1.46582,1.2654,0.68083,0.59585,0.65546,0.37879,1.66106,1.43464,1.23654,0.00140295,0.00140295,0.00140295
10,766.518,1.67498,1.41812,1.23589,0.76563,0.5781,0.68201,0.37821,1.64933,1.33473,1.224,0.00136994,0.00136994,0.00136994
11,839.495,1.65434,1.38164,1.23597,0.65501,0.60116,0.62477,0.37028,1.65544,1.39195,1.24528,0.00133693,0.00133693,0.00133693
12,913.079,1.63295,1.38341,1.22999,0.74738,0.63568,0.67519,0.38059,1.63863,1.38955,1.22384,0.00130393,0.00130393,0.00130393
13,988.264,1.60391,1.33644,1.2106,0.67539,0.62088,0.68521,0.35582,1.61066,1.30559,1.24021,0.00127092,0.00127092,0.00127092
14,1062.21,1.5903,1.33271,1.22056,0.73945,0.62882,0.72727,0.41309,1.6062,1.2593,1.23243,0.00123791,0.00123791,0.00123791
