epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1136.74,1.58748,1.28623,1.20667,0.7783,0.6505,0.72664,0.4383,1.56653,1.22403,1.18126,0.00120491,0.00120491,0.00120491
16,1212.28,1.57509,1.25776,1.19062,0.6453,0.61339,0.6781,0.42411,1.57165,1.26637,1.20939,0.0011719,0.0011719,0.0011719
17,1287.02,1.54139,1.23276,1.18182,0.64628,0.65699,0.69962,0.42527,1.58215,1.21321,1.22139,0.00113889,0.00113889,0.00113889
18,1361.08,1.55989,1.26358,1.18196,0.77065,0.62639,0.71567,0.42774,1.55947,1.20968,1.18864,0.00110589,0.00110589,0.00110589
19,1434.03,1.5343,1.19651,1.18154,0.74706,0.61537,0.71938,0.44403,1.51628,1.16839,1.16103,0.00107288,0.00107288,0.00107288
20,1508.31,1.51916,1.21042,1.16707,0.81528,0.63405,0.74699,0.44525,1.55894,1.1951,1.17284,0.00103987,0.00103987,0.00103987
21,1582.06,1.51214,1.19886,1.16671,0.73803,0.62968,0.72756,0.46505,1.47121,1.13106,1.14697,0.00100687,0.00100687,0.00100687
22,1655.75,1.50479,1.17155,1.1635,0.78593,0.62477,0.72467,0.46533,1.5104,1.16928,1.15906,0.000973861,0.000973861,0.000973861
23,1729.86,1.49078,1.1603,1.16207,0.78163,0.68428,0.74988,0.46854,1.51308,1.16329,1.1769,0.000940855,0.000940855,0.000940855
24,1804.18,1.46496,1.13172,1.14013,0.82109,0.69865,0.77564,0.48875,1.4329,1.08876,1.12481,0.000907848,0.000907848,0.000907848
25,1878.6,1.45595,1.10954,1.13698,0.71632,0.71058,0.75998,0.46902,1.47491,1.08988,1.14603,0.000874842,0.000874842,0.000874842
26,1952.04,1.46568,1.10877,1.14335,0.7601,0.70006,0.74224,0.46283,1.47148,1.11705,1.13793,0.000841835,0.000841835,0.000841835
27,2025.02,1.45756,1.10742,1.13,0.74472,0.56288,0.64678,0.41576,1.51712,1.28609,1.17219,0.000808828,0.000808828,0.000808828
28,2098.04,1.42997,1.09753,1.12717,0.78982,0.67763,0.75847,0.48595,1.45534,1.09892,1.12196,0.000775822,0.000775822,0.000775822
29,2170.94,1.41582,1.07815,1.12127,0.7888,0.73298,0.78746,0.51726,1.4355,1.04449,1.11181,0.000742815,0.000742815,0.000742815
30,2244.83,1.42522,1.07742,1.11498,0.7515,0.70354,0.76918,0.4925,1.42894,1.06222,1.12275,0.000709809,0.000709809,0.000709809
31,2317.95,1.39028,1.03517,1.10528,0.77571,0.71193,0.77762,0.49442,1.42968,1.0451,1.12165,0.000676802,0.000676802,0.000676802
32,2391.75,1.40588,1.04201,1.10808,0.81417,0.68479,0.78481,0.50609,1.41147,1.01102,1.10649,0.000643795,0.000643795,0.000643795
33,2464.69,1.41186,1.04081,1.10895,0.80883,0.73097,0.80386,0.52217,1.42029,1.03547,1.10707,0.000610789,0.000610789,0.000610789
34,2539.64,1.38602,1.02765,1.09953,0.78373,0.7323,0.7983,0.52615,1.40478,0.99508,1.09186,0.000577782,0.000577782,0.000577782
35,2614.43,1.36005,1.01503,1.08573,0.80496,0.73223,0.79369,0.53855,1.38658,1.00685,1.08491,0.000544776,0.000544776,0.000544776
36,2689.34,1.36949,1.00869,1.08593,0.76753,0.7262,0.76604,0.50694,1.40574,1.00883,1.09348,0.000511769,0.000511769,0.000511769
37,2761.52,1.36201,0.99493,1.0871,0.80126,0.72618,0.80963,0.53647,1.35815,0.98819,1.07821,0.000478762,0.000478762,0.000478762
38,2834.26,1.34516,0.98269,1.07423,0.78148,0.74706,0.80694,0.5306,1.38514,0.99409,1.09698,0.000445756,0.000445756,0.000445756
39,2906.62,1.34505,0.97704,1.08107,0.79582,0.74491,0.80404,0.53356,1.35733,0.96239,1.07742,0.000412749,0.000412749,0.000412749
40,2979.4,1.33056,0.95933,1.08069,0.79812,0.72896,0.81025,0.53416,1.36054,0.98298,1.07638,0.000379743,0.000379743,0.000379743
41,3053.21,1.34894,0.94427,1.08024,0.81099,0.75857,0.80787,0.53384,1.37881,0.99776,1.07999,0.000346736,0.000346736,0.000346736
42,3125.77,1.33519,0.91577,1.07784,0.80978,0.74075,0.80771,0.51803,1.39068,0.95621,1.09595,0.000313729,0.000313729,0.000313729
43,3197.84,1.32927,0.90621,1.06636,0.84102,0.7442,0.8201,0.55218,1.35068,0.94673,1.06778,0.000280723,0.000280723,0.000280723
44,3270.67,1.30855,0.89875,1.0572,0.85104,0.7528,0.81579,0.54715,1.37074,0.9646,1.07723,0.000247716,0.000247716,0.000247716
45,3342.44,1.30096,0.87551,1.05098,0.87839,0.73223,0.83417,0.55819,1.35149,0.94674,1.06616,0.00021471,0.00021471,0.00021471
46,3414.9,1.28804,0.85593,1.04759,0.84243,0.76954,0.83981,0.55851,1.33944,0.92169,1.06021,0.000181703,0.000181703,0.000181703
47,3488.14,1.2695,0.83699,1.0395,0.85951,0.7794,0.83634,0.56571,1.32348,0.92849,1.06405,0.000148696,0.000148696,0.000148696
48,3561.57,1.28336,0.84233,1.0466,0.84448,0.73315,0.83044,0.56521,1.3285,0.92677,1.06755,0.00011569,0.00011569,0.00011569
49,3632.55,1.26443,0.83744,1.03747,0.84709,0.74101,0.82912,0.56664,1.32222,0.9213,1.05856,8.26832e-05,8.26832e-05,8.26832e-05
50,3705.27,1.25642,0.8237,1.03249,0.85371,0.75088,0.83062,0.5609,1.32812,0.91952,1.06523,4.96766e-05,4.96766e-05,4.96766e-05
